targets shorthand
H3K36me3 H3K36me3
H3K4me1 H3K4me1
H3K27ac H3K27ac
H3S10ph H3S10ph
H2A_XS139ph $\gamma$H2AX
H3K79me3 H3K79me3
H3K9me2 H3K9me2
H3K9me3 H3K9me3
H3K14ac H3K14ac
H3K27me3 H3K27me3
H3K4me3 H3K4me3
SETD2 SETD2
MLL4_MLL2_KMT2B KMT2B
CBP_CREBBP CBP
EP300 EP300
MSK1 MSK1
MSK2 MSK2
PIM1 PIM1
CDK8 CDK8
AURORA_Aurora_B Aurora_B
EHMT2 EHMT2
SuVar39_SUV39H1 SUV39H1
EHMT1 EHMT1
EZH2 EZH2
MLL1_KMT2A KMT2A
CTCF CTCF
POLR2AphosphoS2 RNAPII
cJun cJun
cFos cFos
Max Max
Myc Myc
USF1 USF1
USF2 USF2
NRF1 NRF1
YY1 YY1
H3K9ac H3K9ac
IgG_control IgG_control
